,task,group,0
0,resting,NTHC,49
1,R-pMFG,NTHC,45
2,R-FEF,NTHC,44
3,L-pMFG,NTHC,44
4,resting,NTS,43
5,R-aMFG,NTHC,43
6,R-M1,NTHC,43
7,L-aMFG,NTHC,42
8,R-IFJ,NTHC,41
9,R-M1,NTS,39
10,R-FEF,NTS,39
11,R-IFJ,NTS,39
12,L-pMFG,NTS,38
13,R-aMFG,NTS,37
14,R-preSMA,NTHC,37
15,R-pMFG,NTS,37
16,L-aMFG,NTS,37
17,R-preSMA,NTS,36
18,R-FP,NTHC,35
19,R-FEF,TIS,34
20,R-FP,NTS,34
21,L-FP,NTS,33
22,R-pMFG,TIS,33
23,R-aMFG,TIS,33
24,L-pMFG,TIS,32
25,L-aMFG,TIS,32
26,R-M1,TIS,32
27,R-IPL,NTHC,30
28,resting,TIS,30
29,resting,TEHC,29
30,L-FP,NTHC,28
31,R-FP,TIS,28
32,L-FP,TIS,28
33,R-IFJ,TIS,28
34,R-preSMA,TIS,28
35,R-IPL,TIS,27
36,R-IFJ,TEHC,27
37,R-IPL,NTS,27
38,R-FP,TEHC,24
39,L-aMFG,TEHC,24
40,R-aMFG,TEHC,24
41,R-pMFG,TEHC,24
42,R-M1,TEHC,23
43,R-FEF,TEHC,23
44,L-pMFG,TEHC,23
45,L-FP,TEHC,23
46,R-IPL,TEHC,23
47,R-preSMA,TEHC,20
